nflId,displayName,pos,team,TPOE_rank,TPOE,TOE_rank,TOE,MTPOE_rank,MTPOE,MTOE_rank,MTOE,Average Tackle Rank,Average Missed Tackle Rank,Average Rank,Overall Tackle Rank,Percentile
47826,Jahlani Tavai,ILB,NE,312,-0.009,320,-1.9,2,-0.023,10,-5.1,316.00,6.00,161.00,96,
53596,Nate Hobbs,CB,LV,27,0.039,41,8.6,294,-0.004,288,-0.9,34.00,291.00,162.50,97,
43420,Blake Martinez,ILB,LV,10,0.06,65,5.6,286,-0.005,341,-0.5,37.50,313.50,175.50,98,
54487,Quay Walker,ILB,GB,20,0.045,16,12.9,318,-0.003,316,-0.7,18.00,317.00,167.50,99,
44893,Fabian Moreau,CB,NYG,66,0.026,66,5.5,285,-0.005,285,-1,66.00,285.00,175.50,100,
44871,Tanoh Kpassagnon,DE,NO,75,0.022,139,2.4,188,-0.009,305,-0.9,107.00,246.50,176.75,101,
43335,A'Shawn Robinson,DT,LA,50,0.029,53,6.7,308,-0.004,286,-1,51.50,297.00,174.25,102,
44878,Ahkello Witherspoon,CB,PIT,150,0.01,161,1.7,187,-0.009,206,-1.6,155.50,196.50,176.00,103,
41915,Shaquil Barrett,OLB,TB,212,0.002,206,0.6,168,-0.01,119,-2.5,209.00,143.50,176.25,104,
53509,Divine Deablo,OLB,LV,13,0.055,6,18.6,340,-0.002,327,-0.6,9.50,333.50,171.50,105,
42467,Kwon Alexander,OLB,NYJ,109,0.016,103,3.8,256,-0.006,236,-1.4,106.00,246.00,176.00,106,
47788,Devin White,ILB,TB,206,0.003,178,1.4,231,-0.007,83,-3,192.00,157.00,174.50,107,
44834,Charles Harris,OLB,DET,301,-0.008,288,-1.3,18,-0.018,92,-2.9,294.50,55.00,174.75,108,
44944,Deatrich Wise,DE,NE,264,-0.004,277,-1.1,133,-0.011,45,-3.6,270.50,89.00,179.75,109,
48476,Nik Needham,CB,MIA,268,-0.004,264,-0.8,86,-0.013,104,-2.7,266.00,95.00,180.50,110,
38843,Rodney McLeod,FS,IND,259,-0.004,297,-1.5,145,-0.011,36,-3.9,278.00,90.50,184.25,111,
52527,Mykal Walker,ILB,ATL,106,0.017,51,6.8,323,-0.003,239,-1.3,78.50,281.00,179.75,112,
53465,Jevon Holland,FS,MIA,210,0.003,174,1.5,242,-0.006,103,-2.7,192.00,172.50,182.25,113,
43435,Matt Judon,OLB,NE,300,-0.008,330,-2.1,71,-0.014,38,-3.8,315.00,54.50,184.75,114,
42485,Adrian Amos,FS,GB,183,0.005,160,1.7,255,-0.006,161,-2,171.50,208.00,189.75,115,
54677,Derion Kendrick,CB,LA,257,-0.003,260,-0.7,118,-0.011,108,-2.6,258.50,113.00,185.75,116,
47973,Armon Watts,NT,CHI,137,0.012,144,2.2,230,-0.007,246,-1.3,140.50,238.00,189.25,117,
40074,William Gholston,DE,TB,287,-0.007,291,-1.4,77,-0.014,102,-2.8,289.00,89.50,189.25,118,
48516,T.J. Edwards,ILB,PHI,12,0.055,4,18.9,360,-0.001,369,-0.2,8.00,364.50,186.25,119,
44886,Chris Wormley,DE,PIT,193,0.004,205,0.7,165,-0.01,205,-1.6,199.00,185.00,192.00,120,
44999,Chuck Clark,SS,BAL,82,0.021,42,8.3,346,-0.002,293,-0.9,62.00,319.50,190.75,121,
52542,Jaylinn Hawkins,FS,ATL,172,0.007,136,2.6,270,-0.005,186,-1.7,154.00,228.00,191.00,122,
48462,Kevin Strong,DE,TEN,323,-0.01,266,-0.9,6,-0.02,168,-1.9,294.50,87.00,190.75,123,
42421,P.J. Williams,CB,NO,261,-0.004,251,-0.4,61,-0.015,208,-1.6,256.00,134.50,195.25,124,
37078,Patrick Peterson,CB,MIN,297,-0.008,377,-3.3,103,-0.013,11,-5.1,337.00,57.00,197.00,125,
35452,Brandon Graham,DE,PHI,146,0.01,180,1.3,196,-0.009,271,-1.1,163.00,233.50,198.25,126,
53494,Andre Cisco,SS,JAX,196,0.004,168,1.6,264,-0.005,154,-2,182.00,209.00,195.50,127,
53489,Pete Werner,OLB,NO,18,0.046,12,15.7,373,0,372,-0.1,15.00,372.50,193.75,128,
52435,Jordyn Brooks,ILB,SEA,24,0.042,7,17.8,379,0,374,-0.1,15.50,376.50,196.00,129,
54505,Boye Mafe,OLB,SEA,354,-0.012,333,-2.1,32,-0.016,82,-3,343.50,57.00,200.25,130,
52627,Geno Stone,SS,BAL,236,0,233,0,153,-0.01,176,-1.8,234.50,164.50,199.50,131,
45011,D.J. Jones,DT,DEN,203,0.003,208,0.6,218,-0.008,189,-1.7,205.50,203.50,204.50,132,
47939,Justin Hollins,OLB,LA,187,0.005,194,1,210,-0.008,221,-1.5,190.50,215.50,203.00,133,
52444,Xavier McKinney,FS,NYG,283,-0.006,321,-1.9,156,-0.01,59,-3.3,302.00,107.50,204.75,134,
46269,Foyesade Oluokun,ILB,JAX,19,0.045,5,18.7,398,0.001,394,0.2,12.00,396.00,204.00,135,
54618,Tariq Woolen,CB,SEA,270,-0.004,305,-1.5,199,-0.008,57,-3.3,287.50,128.00,207.75,136,
54704,Rodney Thomas,FS,IND,122,0.014,115,3.5,293,-0.004,295,-0.9,118.50,294.00,206.25,137,
52417,C.J. Henderson,CB,CAR,128,0.013,120,3.2,301,-0.004,282,-1,124.00,291.50,207.75,138,
44823,Marshon Lattimore,CB,NO,378,-0.015,375,-3.2,30,-0.017,42,-3.6,376.50,36.00,206.25,139,
47899,Amani Hooker,FS,TEN,255,-0.003,253,-0.5,158,-0.01,169,-1.9,254.00,163.50,208.75,140,
46081,Vita Vea,NT,TB,291,-0.007,319,-1.9,132,-0.011,100,-2.8,305.00,116.00,210.50,141,
47809,Montez Sweat,DE,WAS,336,-0.011,370,-3,89,-0.013,43,-3.6,353.00,66.00,209.50,142,
41300,Christian Kirksey,OLB,HOU,221,0.001,223,0.4,258,-0.006,145,-2.2,222.00,201.50,211.75,143,73.60594796
47864,Will Harris,SS,DET,145,0.011,158,1.8,247,-0.006,303,-0.9,151.50,275.00,213.25,144,
48770,Marquise Copeland,DT,LA,346,-0.012,285,-1.2,26,-0.017,194,-1.7,315.50,110.00,212.75,145,
47971,David Long,ILB,TEN,52,0.029,32,10.1,380,0,380,0,42.00,380.00,211.00,146,
46175,Josey Jewell,ILB,DEN,41,0.033,70,5.4,364,-0.001,375,-0.1,55.50,369.50,212.50,147,
46188,Kyzir White,ILB,PHI,23,0.042,29,10.7,399,0.001,401,0.2,26.00,400.00,213.00,148,
44968,Jayon Brown,OLB,LV,241,-0.001,235,-0.1,163,-0.01,225,-1.5,238.00,194.00,216.00,149,
52478,Brandon Jones,SS,MIA,48,0.031,45,7.8,378,0,379,0,46.50,378.50,212.50,150,
44902,Shaquill Griffin,CB,JAX,46,0.031,47,7.1,384,0,383,0,46.50,383.50,215.00,151,
52706,Jonas Griffith,ILB,DEN,218,0.002,221,0.5,228,-0.007,212,-1.6,219.50,220.00,219.75,152,
52464,Raekwon Davis,NT,MIA,324,-0.01,334,-2.2,106,-0.012,97,-2.8,329.00,101.50,215.25,153,
52495,Anfernee Jennings,OLB,NE,293,-0.007,267,-0.9,105,-0.012,201,-1.6,280.00,153.00,216.50,154,
46165,Harrison Phillips,DT,MIN,321,-0.01,349,-2.5,109,-0.012,91,-2.9,335.00,100.00,217.50,155,
46669,Jonathan Owens,FS,HOU,6,0.069,1,22.7,420,0.002,442,0.7,3.50,431.00,217.25,156,71.18959108
47878,Oshane Ximines,OLB,NYG,390,-0.016,328,-2.1,17,-0.018,133,-2.3,359.00,75.00,217.00,157,
54778,Jaylon Jones,CB,CHI,39,0.034,97,3.9,355,-0.001,370,-0.1,68.00,362.50,215.25,158,
52445,Kyle Dugger,FS,NE,151,0.01,166,1.6,273,-0.005,301,-0.9,158.50,287.00,222.75,159,
40171,Nicholas Williams,DT,NYG,329,-0.011,312,-1.8,100,-0.013,144,-2.2,320.50,122.00,221.25,160,
54948,Marquan McCall,NT,CAR,383,-0.015,308,-1.6,14,-0.018,165,-1.9,345.50,89.50,217.50,161,
54525,Cam Taylor-Britt,CB,CIN,250,-0.002,240,-0.2,119,-0.011,258,-1.2,245.00,188.50,216.75,162,
46521,Ben Niemann,ILB,ARI,380,-0.015,345,-2.4,39,-0.016,116,-2.5,362.50,77.50,220.00,163,
43356,Maliek Collins,DT,HOU,403,-0.019,358,-2.7,8,-0.02,101,-2.8,380.50,54.50,217.50,164,69.70260223
52697,James Pierre,CB,PIT,165,0.008,200,0.8,204,-0.008,309,-0.8,182.50,256.50,219.50,165,
43361,Jonathan Bullard,DE,MIN,359,-0.013,325,-2,58,-0.015,142,-2.2,342.00,100.00,221.00,166,
44815,Solomon Thomas,DT,NYJ,409,-0.02,368,-3,7,-0.02,93,-2.9,388.50,50.00,219.25,167,
53450,Kwity Paye,DE,IND,159,0.009,167,1.6,266,-0.005,299,-0.9,163.00,282.50,222.75,168,
37778,Josh Bynes,ILB,BAL,258,-0.004,261,-0.8,193,-0.009,191,-1.7,259.50,192.00,225.75,169,
46190,Taron Johnson,CB,BUF,179,0.006,150,2,303,-0.004,262,-1.2,164.50,282.50,223.50,170,
44872,Chidobe Awuzie,CB,CIN,126,0.013,86,4.4,348,-0.002,338,-0.5,106.00,343.00,224.50,171,
54936,Kader Kohou,CB,MIA,141,0.012,129,3,316,-0.003,310,-0.8,135.00,313.00,224.00,172,
46132,Carlton Davis,CB,TB,204,0.003,197,0.9,280,-0.005,231,-1.4,200.50,255.50,228.00,173,
48544,Shy Tuttle,DT,NO,365,-0.013,371,-3,85,-0.013,89,-2.9,368.00,87.00,227.50,174,
53502,Milton Williams,DT,PHI,405,-0.019,355,-2.6,16,-0.018,125,-2.4,380.00,70.50,225.25,175,
41269,Kyle Van Noy,OLB,LAC,376,-0.015,383,-3.4,76,-0.014,80,-3.1,379.50,78.00,228.75,176,
54644,Kingsley Enagbare,OLB,GB,368,-0.013,306,-1.5,46,-0.015,197,-1.6,337.00,121.50,229.25,177,
47941,Michael Jackson,CB,SEA,243,-0.001,250,-0.4,276,-0.005,157,-2,246.50,216.50,231.50,178,
47984,Rashad Fenton,CB,KC,266,-0.004,263,-0.8,209,-0.008,188,-1.7,264.50,198.50,231.50,179,
53595,Keith Taylor,CB,CAR,190,0.005,214,0.6,226,-0.007,298,-0.9,202.00,262.00,232.00,180,
53469,Richie Grant,SS,ATL,117,0.015,48,7,375,0,373,-0.1,82.50,374.00,228.25,181,
52446,Yetur Gross-Matos,OLB,CAR,381,-0.015,450,-4.8,83,-0.013,21,-4.2,415.50,52.00,233.75,182,
52852,Myles Hartsfield,FS,CAR,229,0.001,222,0.5,298,-0.004,211,-1.6,225.50,254.50,240.00,183,
52522,Leki Fotu,DT,ARI,284,-0.006,286,-1.2,176,-0.009,199,-1.6,285.00,187.50,236.25,184,
47855,Germaine Pratt,OLB,CIN,42,0.033,38,9,418,0.002,441,0.7,40.00,429.50,234.75,185,
53462,Tyson Campbell,CB,JAX,209,0.003,183,1.3,320,-0.003,230,-1.4,196.00,275.00,235.50,186,
53641,Damar Hamlin,SS,BUF,14,0.05,14,13.8,448,0.004,455,1,14.00,451.50,232.75,187,
42929,Alex Singleton,OLB,DEN,3,0.076,8,17.7,464,0.005,458,1.1,5.50,461.00,233.25,188,
38868,Tashaun Gipson,FS,SF,408,-0.02,482,-6.2,45,-0.016,14,-5,445.00,29.50,237.25,189,
47786,Quinnen Williams,NT,NYJ,311,-0.009,356,-2.6,184,-0.009,109,-2.6,333.50,146.50,240.00,190,
53618,Marlon Tuipulotu,DT,PHI,327,-0.01,290,-1.3,120,-0.011,217,-1.5,308.50,168.50,238.50,191,
41263,Demarcus Lawrence,DE,DAL,56,0.027,58,6.1,431,0.002,423,0.4,57.00,427.00,242.00,192,
47843,Nasir Adderley,FS,LAC,364,-0.013,413,-4,126,-0.011,55,-3.4,388.50,90.50,239.50,193,
53537,Darren Hall,CB,ATL,417,-0.02,442,-4.5,47,-0.015,51,-3.5,429.50,49.00,239.25,194,
54579,Dane Belton,FS,NYG,119,0.015,162,1.7,317,-0.003,351,-0.3,140.50,334.00,237.25,195,
44904,Jourdan Lewis,CB,DAL,202,0.003,207,0.6,284,-0.005,284,-1,204.50,284.00,244.25,196,
46211,D.J. Reed,CB,NYJ,205,0.003,173,1.5,331,-0.003,261,-1.2,189.00,296.00,242.50,197,
46264,Sebastian Joseph,NT,LAC,216,0.002,210,0.6,279,-0.005,274,-1.1,213.00,276.50,244.75,198,
46148,Rasheem Green,DE,HOU,265,-0.004,262,-0.8,213,-0.008,237,-1.4,263.50,225.00,244.25,199,63.19702602
47817,Rock Ya-Sin,CB,LV,195,0.004,182,1.3,326,-0.003,273,-1.1,188.50,299.50,244.00,200,
52431,Kenneth Murray,ILB,LAC,234,0,232,0,274,-0.005,245,-1.3,233.00,259.50,246.25,201,
43522,Jalen Mills,CB,NE,263,-0.004,271,-1,253,-0.006,214,-1.6,267.00,233.50,250.25,202,
44964,Desmond King,CB,HOU,73,0.023,67,5.5,421,0.002,422,0.4,70.00,421.50,245.75,203,62.4535316
55032,Tomon Fox,OLB,NYG,53,0.029,138,2.6,391,0.001,390,0.1,95.50,390.50,243.00,204,
44863,DeMarcus Walker,DE,TEN,387,-0.016,310,-1.7,69,-0.014,226,-1.5,348.50,147.50,248.00,205,
38540,Stephon Gilmore,CB,IND,316,-0.01,406,-3.9,223,-0.008,63,-3.3,361.00,143.00,252.00,206,
47816,Byron Murphy,CB,ARI,372,-0.014,477,-5.9,127,-0.011,16,-4.7,424.50,71.50,248.00,207,
42388,Eric Kendricks,ILB,MIN,79,0.021,44,8,428,0.002,453,0.9,61.50,440.50,251.00,208,
42403,Randy Gregory,DE,DEN,330,-0.011,281,-1.2,141,-0.011,265,-1.2,305.50,203.00,254.25,209,
44925,Eddie Jackson,SS,CHI,57,0.027,27,11,440,0.003,471,1.4,42.00,455.50,248.75,210,
47792,Ed Oliver,DT,BUF,274,-0.005,255,-0.6,183,-0.009,304,-0.9,264.50,243.50,254.00,211,
43404,De'Vondre Campbell,ILB,GB,40,0.033,28,10.8,454,0.004,476,1.5,34.00,465.00,249.50,212,
44869,Zach Cunningham,ILB,TEN,149,0.01,181,1.3,335,-0.003,349,-0.4,165.00,342.00,253.50,213,
42030,K'Waun Williams,CB,DEN,272,-0.005,280,-1.2,257,-0.006,215,-1.6,276.00,236.00,256.00,214,
44938,Samson Ebukam,DE,SF,169,0.007,177,1.4,334,-0.003,337,-0.5,173.00,335.50,254.25,215,
43378,Javon Hargrave,DT,PHI,231,0,230,0.1,287,-0.005,275,-1.1,230.50,281.00,255.75,216,
42368,Shaq Thompson,ILB,CAR,142,0.011,85,4.4,389,0,389,0.1,113.50,389.00,251.25,217,
52505,Jacob Phillips,MLB,CLE,84,0.021,75,4.9,417,0.002,430,0.6,79.50,423.50,251.50,218,
53534,Baron Browning,ILB,DEN,464,-0.027,444,-4.6,15,-0.018,72,-3.1,454.00,43.50,248.75,219,
44848,Budda Baker,SS,ARI,25,0.039,10,16.5,463,0.005,497,2.2,17.50,480.00,248.75,220,
47785,Nick Bosa,DE,SF,371,-0.014,354,-2.6,128,-0.011,158,-2,362.50,143.00,252.75,221,
35459,Kareem Jackson,SS,DEN,121,0.014,71,5.3,408,0.001,414,0.3,96.00,411.00,253.50,222,
43791,Morgan Fox,DE,LAC,444,-0.025,405,-3.8,41,-0.016,129,-2.4,424.50,85.00,254.75,223,
35493,Carlos Dunlap,OLB,KC,369,-0.014,341,-2.3,148,-0.011,184,-1.8,355.00,166.00,260.50,224,
53554,Camryn Bynum,FS,MIN,352,-0.012,443,-4.5,172,-0.009,50,-3.5,397.50,111.00,254.25,225,
43641,Mike Hilton,CB,CIN,89,0.019,73,4.9,424,0.002,434,0.6,81.00,429.00,255.00,226,
38542,Fletcher Cox,DT,PHI,407,-0.02,430,-4.4,102,-0.013,94,-2.9,418.50,98.00,258.25,227,
46700,Tre Herndon,CB,JAX,26,0.039,94,4,461,0.005,424,0.5,60.00,442.50,251.25,228,
42391,Denzel Perryman,ILB,LV,8,0.067,18,11.9,499,0.01,483,1.7,13.00,491.00,252.00,229,
40166,Jordan Poyer,SS,BUF,237,-0.001,239,-0.2,290,-0.005,276,-1.1,238.00,283.00,260.50,230,
53441,Micah Parsons,OLB,DAL,393,-0.016,459,-5,122,-0.011,52,-3.5,426.00,87.00,256.50,231,
